,A̱o,Trimestre,Llamadas pospago salientes (miles),Llamadas prepago salientes (miles),Total de llamadas salientes (miles)
4,2014,1,4001399,3589181,7590580
5,2014,2,4373148,3942142,8315290
6,2014,3,4676132,4356668,9032801
7,2014,4,4957353,4649196,9606550
8,2015,1,4180427,3992229,8172656
9,2015,2,4612087,4081505,8693592
10,2015,3,4834496,4544938,9379434
11,2015,4,5015851,4799840,9815691
12,2016,1,4602640,4291789,8894429
13,2016,2,4633918,4362030,8995948
14,2016,3,5125311,3985485,9110796
15,2016,4,5977412,3289295,9266707
16,2017,1,5337927,2883162,8221089
17,2017,2,5431369,2753032,8184400
18,2017,3,5401689,2812805,8214493
19,2017,4,5506428,2895913,8402341
20,2018,1,4629943,2639039,7268982
21,2018,2,4997593,2617568,7615161
22,2018,3,5114169,2585551,7699720
23,2018,4,5415217,2825480,8240697
24,2019,1,4990885,2569628,7560513
25,2019,2,5081581,2632188,7713769
26,2019,3,4735772,2519093,7254864
27,2019,4,4935402,2665719,7601121
28,2020,1,4356731,2226861,6583591
29,2020,2,3944061,2091330,6035390
30,2020,3,4216177,2040647,6256823
31,2020,4,4653523,1353625,6007148
32,2021,1,4312129,1273254,5585383
33,2021,2,4343282,1084244,5427526
34,2021,3,4365100,1195389,5560488
35,2021,4,4580319,1355533,5935852
36,2022,1,4073512,1265694,5339206
37,2022,2,4109736,1364889,5474625
38,2022,3,4080043,1309303,5389346
