,Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
419,2018,2,La Rioja,5.97,22.44
420,2018,2,Mendoza,4.58,16.4
421,2018,2,Misiones,10.95,40.22
422,2018,2,Neuquén,12.19,40.96
423,2018,2,Río Negro,12.05,39.17
424,2018,2,Salta,12.19,50.31
425,2018,2,San Juan,6.27,24.63
426,2018,2,San Luis,11.56,40.4
427,2018,2,Santa Cruz,15.38,51.68
428,2018,2,Santa Fe,17.69,56.25
429,2018,2,Santiago del Estero,10.07,40.56
430,2018,2,Tierra del Fuego,24.97,84.2
431,2018,2,Tucumán,7.2,29.07
432,2018,1,Buenos Aires,15.49,47.83
433,2018,1,Capital Federal,24.18,57.64
434,2018,1,Catamarca,21.87,85.99
435,2018,1,Chaco,9.33,34.9
436,2018,1,Chubut,12.24,39.93
437,2018,1,Córdoba,30.09,98.26
438,2018,1,Corrientes,9.64,36.62
439,2018,1,Entre Ríos,15.51,51.87
440,2018,1,Formosa,8.85,34.77
441,2018,1,Jujuy,11.81,46.16
442,2018,1,La Pampa,23.86,72.41
443,2018,1,La Rioja,6.23,23.39
444,2018,1,Mendoza,4.55,16.3
445,2018,1,Misiones,10.94,40.15
446,2018,1,Neuquén,11.97,40.2
447,2018,1,Río Negro,12.41,40.36
448,2018,1,Salta,12.69,52.4
449,2018,1,San Juan,4.92,19.3
450,2018,1,San Luis,12.56,43.87
451,2018,1,Santa Cruz,15.43,51.84
452,2018,1,Santa Fe,17.96,57.1
453,2018,1,Santiago del Estero,10.09,40.67
454,2018,1,Tierra del Fuego,24.64,83.12
455,2018,1,Tucumán,7.14,28.81
456,2017,4,Buenos Aires,15.54,48.1
457,2017,4,Capital Federal,24.15,57.5
458,2017,4,Catamarca,7.24,28.46
459,2017,4,Chaco,8.64,32.34
460,2017,4,Chubut,12.0,39.13
461,2017,4,Córdoba,28.42,92.84
462,2017,4,Corrientes,9.66,36.7
463,2017,4,Entre Ríos,15.49,51.81
464,2017,4,Formosa,8.29,32.57
465,2017,4,Jujuy,11.62,45.43
466,2017,4,La Pampa,23.98,72.78
467,2017,4,La Rioja,6.24,23.42
468,2017,4,Mendoza,5.88,21.08
469,2017,4,Misiones,10.9,40.01
470,2017,4,Neuquén,12.03,40.41
471,2017,4,Río Negro,12.57,40.87
472,2017,4,Salta,12.81,52.87
473,2017,4,San Juan,5.2,20.41
474,2017,4,San Luis,12.74,44.52
475,2017,4,Santa Cruz,14.67,49.29
476,2017,4,Santa Fe,18.15,57.72
477,2017,4,Santiago del Estero,10.11,40.76
478,2017,4,Tierra del Fuego,24.67,83.2
479,2017,4,Tucumán,7.15,28.85
480,2017,3,Buenos Aires,15.11,46.79
481,2017,3,Capital Federal,23.1,54.92
482,2017,3,Catamarca,10.08,39.57
483,2017,3,Chaco,7.73,28.87
484,2017,3,Chubut,11.93,38.81
485,2017,3,Córdoba,28.1,91.61
486,2017,3,Corrientes,8.59,32.58
487,2017,3,Entre Ríos,12.27,40.98
488,2017,3,Formosa,8.37,32.84
489,2017,3,Jujuy,11.36,44.34
490,2017,3,La Pampa,28.54,86.5
491,2017,3,La Rioja,6.34,23.76
492,2017,3,Mendoza,5.9,21.09
493,2017,3,Misiones,10.27,37.61
494,2017,3,Neuquén,17.24,57.79
495,2017,3,Río Negro,8.06,26.13
496,2017,3,Salta,18.6,76.63
497,2017,3,San Juan,5.23,20.49
498,2017,3,San Luis,12.8,44.62
499,2017,3,Santa Cruz,14.16,47.36
500,2017,3,Santa Fe,17.83,56.64
501,2017,3,Santiago del Estero,10.33,41.54
502,2017,3,Tierra del Fuego,24.84,83.42
503,2017,3,Tucumán,10.99,44.27
504,2017,2,Buenos Aires,15.17,47.17
505,2017,2,Capital Federal,23.14,54.96
506,2017,2,Catamarca,10.01,39.35
507,2017,2,Chaco,7.84,29.32
508,2017,2,Chubut,12.38,40.37
509,2017,2,Córdoba,28.0,91.43
510,2017,2,Corrientes,8.53,32.41
511,2017,2,Entre Ríos,12.07,40.36
512,2017,2,Formosa,8.12,31.92
513,2017,2,Jujuy,11.36,44.42
514,2017,2,La Pampa,28.45,86.33
515,2017,2,La Rioja,6.39,23.99
516,2017,2,Mendoza,5.88,21.06
517,2017,2,Misiones,10.1,37.09
518,2017,2,Neuquén,17.37,58.35
519,2017,2,Río Negro,8.11,26.38
520,2017,2,Salta,18.73,77.34
521,2017,2,San Juan,5.38,21.11
522,2017,2,San Luis,11.23,39.25
523,2017,2,Santa Cruz,14.84,49.88
524,2017,2,Santa Fe,17.93,57.03
525,2017,2,Santiago del Estero,10.26,41.35
526,2017,2,Tierra del Fuego,24.25,81.79
527,2017,2,Tucumán,10.98,44.32
528,2017,1,Buenos Aires,15.23,47.43
529,2017,1,Capital Federal,23.29,55.24
530,2017,1,Catamarca,7.36,28.91
531,2017,1,Chaco,7.57,28.32
532,2017,1,Chubut,12.46,40.65
533,2017,1,Córdoba,28.16,91.97
534,2017,1,Corrientes,8.58,32.59
535,2017,1,Entre Ríos,11.95,39.98
536,2017,1,Formosa,8.28,32.53
537,2017,1,Jujuy,11.33,44.31
538,2017,1,La Pampa,29.34,89.04
539,2017,1,La Rioja,6.49,24.37
540,2017,1,Mendoza,6.07,21.76
541,2017,1,Misiones,10.16,37.3
542,2017,1,Neuquén,17.45,58.61
543,2017,1,Río Negro,7.34,23.85
544,2017,1,Salta,12.52,51.67
545,2017,1,San Juan,5.76,22.6
546,2017,1,San Luis,11.72,40.96
547,2017,1,Santa Cruz,15.0,50.4
548,2017,1,Santa Fe,17.5,55.65
549,2017,1,Santiago del Estero,10.33,41.61
550,2017,1,Tierra del Fuego,24.31,81.97
551,2017,1,Tucumán,7.69,31.05
552,2016,4,Buenos Aires,15.06,49.41
553,2016,4,Capital Federal,23.29,61.33
554,2016,4,Catamarca,7.52,29.58
555,2016,4,Chaco,7.65,28.63
556,2016,4,Chubut,12.59,41.14
557,2016,4,Córdoba,27.98,91.48
558,2016,4,Corrientes,8.65,32.88
559,2016,4,Entre Ríos,11.68,39.11
560,2016,4,Formosa,7.92,31.13
561,2016,4,Jujuy,11.1,43.44
562,2016,4,La Pampa,29.05,88.24
563,2016,4,La Rioja,6.9,25.94
564,2016,4,Mendoza,6.13,22.0
565,2016,4,Misiones,10.23,37.6
566,2016,4,Neuquén,17.62,59.26
567,2016,4,Río Negro,7.62,24.8
568,2016,4,Salta,12.79,52.87
569,2016,4,San Juan,5.33,20.95
570,2016,4,San Luis,11.25,39.37
571,2016,4,Santa Cruz,15.45,52.04
572,2016,4,Santa Fe,18.01,57.33
573,2016,4,Santiago del Estero,10.45,42.14
574,2016,4,Tierra del Fuego,24.73,83.59
575,2016,4,Tucumán,7.7,31.11
576,2016,3,Buenos Aires,14.97,49.12
577,2016,3,Capital Federal,23.43,61.7
578,2016,3,Catamarca,7.43,29.22
579,2016,3,Chaco,7.8,29.22
580,2016,3,Chubut,12.59,41.12
581,2016,3,Córdoba,28.04,91.66
582,2016,3,Corrientes,8.59,32.63
583,2016,3,Entre Ríos,11.65,39.0
584,2016,3,Formosa,7.93,31.19
585,2016,3,Jujuy,11.48,44.93
586,2016,3,La Pampa,26.25,79.73
587,2016,3,La Rioja,6.6,24.81
588,2016,3,Mendoza,6.1,21.88
589,2016,3,Misiones,10.17,37.38
590,2016,3,Neuquén,17.64,59.31
591,2016,3,Río Negro,7.69,25.03
592,2016,3,Salta,12.76,52.73
593,2016,3,San Juan,5.67,22.27
594,2016,3,San Luis,11.2,39.18
595,2016,3,Santa Cruz,15.54,52.32
596,2016,3,Santa Fe,17.94,57.1
597,2016,3,Santiago del Estero,10.56,42.59
598,2016,3,Tierra del Fuego,24.66,83.34
599,2016,3,Tucumán,7.77,31.4
600,2016,2,Buenos Aires,14.94,49.04
601,2016,2,Capital Federal,23.47,61.8
602,2016,2,Catamarca,7.4,29.1
603,2016,2,Chaco,8.16,30.56
604,2016,2,Chubut,12.61,41.2
605,2016,2,Córdoba,27.88,91.15
606,2016,2,Corrientes,8.58,32.61
607,2016,2,Entre Ríos,11.62,38.9
608,2016,2,Formosa,7.93,31.19
609,2016,2,Jujuy,11.58,45.33
610,2016,2,La Pampa,25.9,78.65
611,2016,2,La Rioja,6.54,24.59
612,2016,2,Mendoza,6.09,21.85
613,2016,2,Misiones,10.15,37.31
614,2016,2,Neuquén,17.65,59.37
615,2016,2,Río Negro,7.72,25.14
616,2016,2,Salta,12.9,53.3
617,2016,2,San Juan,5.67,22.3
618,2016,2,San Luis,11.18,39.1
619,2016,2,Santa Cruz,15.7,52.86
620,2016,2,Santa Fe,17.96,57.15
621,2016,2,Santiago del Estero,10.56,42.59
622,2016,2,Tierra del Fuego,24.33,82.24
623,2016,2,Tucumán,7.73,31.23
624,2016,1,Buenos Aires,14.86,48.77
625,2016,1,Capital Federal,23.54,61.98
626,2016,1,Catamarca,7.29,28.68
627,2016,1,Chaco,7.91,29.61
628,2016,1,Chubut,11.82,38.61
629,2016,1,Córdoba,27.7,90.54
630,2016,1,Corrientes,8.55,32.5
631,2016,1,Entre Ríos,11.56,38.69
632,2016,1,Formosa,7.93,31.18
633,2016,1,Jujuy,11.52,45.09
634,2016,1,La Pampa,25.88,78.61
635,2016,1,La Rioja,6.5,24.43
636,2016,1,Mendoza,6.09,21.85
637,2016,1,Misiones,10.05,36.94
638,2016,1,Neuquén,17.66,59.38
639,2016,1,Río Negro,7.75,25.21
640,2016,1,Salta,12.61,52.13
641,2016,1,San Juan,5.65,22.19
642,2016,1,San Luis,11.39,39.83
643,2016,1,Santa Cruz,16.52,55.62
644,2016,1,Santa Fe,17.83,56.74
645,2016,1,Santiago del Estero,10.54,42.51
646,2016,1,Tierra del Fuego,24.84,83.95
647,2016,1,Tucumán,8.01,32.35
648,2015,4,Buenos Aires,15.04,49.34
649,2015,4,Capital Federal,23.47,61.8
650,2015,4,Catamarca,7.4,29.1
651,2015,4,Chaco,7.94,29.75
652,2015,4,Chubut,12.14,39.67
653,2015,4,Córdoba,27.87,91.11
654,2015,4,Corrientes,8.82,33.52
655,2015,4,Entre Ríos,11.69,39.12
656,2015,4,Formosa,8.01,31.48
657,2015,4,Jujuy,11.9,46.57
658,2015,4,La Pampa,25.41,77.17
659,2015,4,La Rioja,6.84,25.72
660,2015,4,Mendoza,6.2,22.23
661,2015,4,Misiones,10.02,36.83
662,2015,4,Neuquén,17.93,60.29
663,2015,4,Río Negro,8.09,26.33
664,2015,4,Salta,12.97,53.61
665,2015,4,San Juan,5.99,23.52
666,2015,4,San Luis,11.45,40.04
667,2015,4,Santa Cruz,17.16,57.8
668,2015,4,Santa Fe,18.06,57.46
669,2015,4,Santiago del Estero,10.77,43.42
670,2015,4,Tierra del Fuego,24.74,83.62
671,2015,4,Tucumán,7.86,31.76
672,2015,3,Buenos Aires,15.04,49.36
673,2015,3,Capital Federal,23.44,61.71
674,2015,3,Catamarca,7.33,28.83
675,2015,3,Chaco,8.11,30.37
676,2015,3,Chubut,12.14,39.66
677,2015,3,Córdoba,27.64,90.37
678,2015,3,Corrientes,8.63,32.8
679,2015,3,Entre Ríos,11.63,38.91
680,2015,3,Formosa,8.01,31.5
681,2015,3,Jujuy,11.79,46.13
682,2015,3,La Pampa,25.1,76.23
683,2015,3,La Rioja,7.01,26.36
684,2015,3,Mendoza,6.23,22.35
685,2015,3,Misiones,9.96,36.62
686,2015,3,Neuquén,17.96,60.4
687,2015,3,Río Negro,8.17,26.6
688,2015,3,Salta,12.77,52.79
689,2015,3,San Juan,5.9,23.17
690,2015,3,San Luis,11.49,40.19
691,2015,3,Santa Cruz,17.15,57.76
692,2015,3,Santa Fe,18.06,57.46
693,2015,3,Santiago del Estero,10.73,43.28
694,2015,3,Tierra del Fuego,24.33,82.22
695,2015,3,Tucumán,7.7,31.12
696,2015,2,Buenos Aires,15.14,49.69
697,2015,2,Capital Federal,22.7,59.77
698,2015,2,Catamarca,7.19,28.27
699,2015,2,Chaco,8.0,29.95
700,2015,2,Chubut,12.13,39.62
701,2015,2,Córdoba,27.44,89.71
702,2015,2,Corrientes,8.56,32.54
703,2015,2,Entre Ríos,11.65,38.98
704,2015,2,Formosa,8.0,31.46
705,2015,2,Jujuy,11.48,44.92
706,2015,2,La Pampa,24.16,73.38
707,2015,2,La Rioja,6.91,25.98
708,2015,2,Mendoza,6.19,22.2
709,2015,2,Misiones,9.78,35.93
710,2015,2,Neuquén,17.95,60.36
711,2015,2,Río Negro,8.33,27.1
712,2015,2,Salta,12.69,52.44
713,2015,2,San Juan,5.9,23.16
714,2015,2,San Luis,11.66,40.8
715,2015,2,Santa Cruz,16.9,56.91
716,2015,2,Santa Fe,18.0,57.28
717,2015,2,Santiago del Estero,10.64,42.89
718,2015,2,Tierra del Fuego,23.67,80.01
719,2015,2,Tucumán,7.63,30.82
720,2015,1,Buenos Aires,15.02,49.29
721,2015,1,Capital Federal,22.6,59.5
722,2015,1,Catamarca,7.08,27.85
723,2015,1,Chaco,8.01,30.01
724,2015,1,Chubut,12.09,39.51
725,2015,1,Córdoba,27.32,89.31
726,2015,1,Corrientes,8.45,32.1
727,2015,1,Entre Ríos,11.5,38.5
728,2015,1,Formosa,8.0,31.44
729,2015,1,Jujuy,11.0,43.05
730,2015,1,La Pampa,23.7,71.97
731,2015,1,La Rioja,6.95,26.13
732,2015,1,Mendoza,6.14,22.02
733,2015,1,Misiones,9.61,35.31
734,2015,1,Neuquén,17.94,60.33
735,2015,1,Río Negro,8.23,26.78
736,2015,1,Salta,12.62,52.15
737,2015,1,San Juan,5.95,23.36
738,2015,1,San Luis,11.67,40.83
739,2015,1,Santa Cruz,17.01,57.29
740,2015,1,Santa Fe,17.79,56.6
741,2015,1,Santiago del Estero,10.59,42.69
742,2015,1,Tierra del Fuego,23.24,78.55
743,2015,1,Tucumán,7.49,30.27
744,2014,4,Buenos Aires,15.13,49.65
745,2014,4,Capital Federal,22.64,59.62
746,2014,4,Catamarca,7.19,28.27
747,2014,4,Chaco,8.05,30.14
748,2014,4,Chubut,12.29,40.15
749,2014,4,Córdoba,27.67,90.44
750,2014,4,Corrientes,8.61,32.71
751,2014,4,Entre Ríos,11.61,38.85
752,2014,4,Formosa,8.12,31.92
753,2014,4,Jujuy,11.03,43.19
754,2014,4,La Pampa,23.46,71.25
755,2014,4,La Rioja,7.26,27.31
756,2014,4,Mendoza,6.23,22.35
757,2014,4,Misiones,9.59,35.23
758,2014,4,Neuquén,25.35,85.26
759,2014,4,Río Negro,8.43,27.43
760,2014,4,Salta,12.69,52.45
761,2014,4,San Juan,5.88,23.12
762,2014,4,San Luis,11.77,41.16
763,2014,4,Santa Cruz,14.13,47.59
764,2014,4,Santa Fe,19.35,61.59
765,2014,4,Santiago del Estero,10.71,43.19
766,2014,4,Tierra del Fuego,23.45,79.26
767,2014,4,Tucumán,7.63,30.85
768,2014,3,Buenos Aires,15.05,49.38
769,2014,3,Capital Federal,22.61,59.53
770,2014,3,Catamarca,7.01,27.57
771,2014,3,Chaco,7.57,28.35
772,2014,3,Chubut,12.31,40.21
773,2014,3,Córdoba,27.65,90.4
774,2014,3,Corrientes,8.47,32.2
775,2014,3,Entre Ríos,11.51,38.53
776,2014,3,Formosa,8.09,31.81
777,2014,3,Jujuy,10.29,40.27
778,2014,3,La Pampa,22.93,69.63
779,2014,3,La Rioja,6.78,25.51
780,2014,3,Mendoza,6.27,22.5
781,2014,3,Misiones,9.86,36.24
782,2014,3,Neuquén,25.36,85.28
783,2014,3,Río Negro,8.44,27.48
784,2014,3,Salta,12.68,52.4
785,2014,3,San Juan,5.85,23.0
786,2014,3,San Luis,11.67,40.81
787,2014,3,Santa Cruz,14.04,47.28
788,2014,3,Santa Fe,19.41,61.77
789,2014,3,Santiago del Estero,10.65,42.95
790,2014,3,Tierra del Fuego,23.64,79.91
791,2014,3,Tucumán,7.61,30.77
792,2014,2,Buenos Aires,15.04,49.35
793,2014,2,Capital Federal,22.7,59.78
794,2014,2,Catamarca,6.97,27.4
795,2014,2,Chaco,7.58,28.39
796,2014,2,Chubut,12.33,40.27
797,2014,2,Córdoba,27.61,90.25
798,2014,2,Corrientes,8.34,31.71
799,2014,2,Entre Ríos,11.32,37.9
800,2014,2,Formosa,8.11,31.9
801,2014,2,Jujuy,10.01,39.19
802,2014,2,La Pampa,22.58,68.57
803,2014,2,La Rioja,6.91,26.0
804,2014,2,Mendoza,6.24,22.38
805,2014,2,Misiones,9.74,35.78
806,2014,2,Neuquén,25.35,85.26
807,2014,2,Río Negro,8.43,27.45
808,2014,2,Salta,12.63,52.19
809,2014,2,San Juan,5.77,22.67
810,2014,2,San Luis,11.85,41.46
811,2014,2,Santa Cruz,14.95,50.33
812,2014,2,Santa Fe,19.29,61.4
813,2014,2,Santiago del Estero,10.55,42.54
814,2014,2,Tierra del Fuego,23.44,79.22
815,2014,2,Tucumán,7.64,30.88
816,2014,1,Buenos Aires,14.34,47.07
817,2014,1,Capital Federal,22.68,59.71
818,2014,1,Catamarca,4.64,18.25
819,2014,1,Chaco,7.79,29.18
820,2014,1,Chubut,12.34,40.33
821,2014,1,Córdoba,14.48,47.34
822,2014,1,Corrientes,5.76,21.89
823,2014,1,Entre Ríos,8.34,27.92
824,2014,1,Formosa,5.23,20.56
825,2014,1,Jujuy,8.98,35.13
826,2014,1,La Pampa,19.94,60.56
827,2014,1,La Rioja,6.92,26.04
828,2014,1,Mendoza,5.74,20.58
829,2014,1,Misiones,8.45,31.04
830,2014,1,Neuquén,17.34,58.31
831,2014,1,Río Negro,5.83,18.96
832,2014,1,Salta,9.36,38.71
833,2014,1,San Juan,5.75,22.6
834,2014,1,San Luis,3.59,12.56
835,2014,1,Santa Cruz,6.79,22.85
836,2014,1,Santa Fe,16.22,51.62
837,2014,1,Santiago del Estero,10.13,40.84
838,2014,1,Tierra del Fuego,20.17,68.18
839,2014,1,Tucumán,7.1,28.67
